system:index,ARVI,B11,B12,B2,B3,B4,B5,B6,B7,B8,DVI,GRVI,HH,HV,IRECI,LAI,MTCI,NDVI,REIP,RVI,VH,VV,agbd,random,.geo
202010_078E_024N_153,0.77439404,2512.5,1583.5,409.5,720.0,788.0,1445.5,2681.0,3036.5,3051.0,2129.5,-0.023139575,13731,3748,3850.9102,4.320988,2.2914977,0.57029355,713.9099,3.6543772,-13.959362505190374,-6.924098216835504,277.578278,0.7481056831181591,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.7438867401934,29.72444383189858]}"
202009_078E_024N_339,0.6938776,2032.0,1229.0,346.0,579.0,678.0,1006.0,1826.0,2086.0,2279.0,1552.0,-0.0856102,6746,3949,2197.1335,3.4481678,2.7528517,0.4770705,716.9522,2.8246074,-15.94601054877068,-8.231964403357361,89.91427612304688,0.7489933686862188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76264507930162,29.691231961254942]}"
202008_078E_024N_142,0.86954176,1228.0,522.0,121.0,258.0,175.0,471.0,1570.0,1893.0,1952.0,1592.0,0.17681159,7927,3871,4494.969,7.1292186,3.8455498,0.7981763,718.0933,8.909638,-13.52150922822119,-6.855548379490057,230.533142,0.74937692042501,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.76293658956307,29.68852749731092]}"
202005_078E_024N_25,0.6153364,3684.0,2585.5,708.5,1073.0,1289.0,1854.0,2655.5,2902.0,3039.5,1811.0,-0.1205258,6106,3117,2275.423,2.7747726,1.7653985,0.40851957,712.0984,2.3813457,-18.47498730988194,-11.44537679842934,80.359978,0.7499112098217419,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.77276569852282,29.73012908070701]}"
202005_078E_024N_163,0.7456962,1646.5,973.0,298.0,508.5,560.0,971.5,1726.5,1951.0,2147.5,1630.5,-0.002121496,7139,3080,2749.6045,4.5234146,2.5215607,0.559564,716.1948,3.5522718,-15.42795166501333,-9.031313078193913,133.348831,0.7501974069166957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.74037571484904,29.71583778479999]}"
202008_078E_024N_252,0.8321615,1920.0,972.0,298.0,667.0,548.0,1337.0,3274.0,3964.0,3484.0,2789.0,0.10502283,8535,4613,8365.908,6.0466213,3.133833,0.7002912,717.432,5.673145,-16.424484569194117,-9.659242176018772,411.025513,0.7503039595242004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.80747879759043,29.679911930153647]}"
202009_078E_024N_508,0.83174473,1015.0,486.0,223.0,456.0,315.0,749.0,1976.0,2286.0,2316.0,1938.0,0.17185698,7912,4682,4883.2734,6.895273,3.892,0.7637795,718.50244,7.4666667,-16.398030033241987,-10.611162407517014,590.041077,0.7503150753962851,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.79790194789284,29.681404591119577]}"
202010_078E_024N_415,0.8531907,1101.0,527.0,194.0,508.0,319.0,866.0,2069.0,2309.0,2444.0,1942.0,0.19921492,26049,10683,3883.028,6.222695,2.6898263,0.75353533,714.77136,7.114754,-14.881303519376342,-8.391696611155778,222.505554,0.7505012542655385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.73898875138767,29.70273994347669]}"
202006_078E_024N_10,0.8098886,970.0,462.0,189.0,406.0,289.5,650.5,1658.5,1962.5,2055.5,1669.0,0.15187167,10467,6388,3619.582,6.659533,3.7389297,0.7335297,717.7533,6.5090885,-18.919972829809574,-13.471246774036599,57.14999771118164,0.750669119192907,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.75231739995758,29.732419466670294]}"
202005_078E_024N_1015,0.705314,1317.0,788.0,366.0,655.0,541.0,1019.0,1990.0,2167.0,2156.0,1488.0,0.06726457,9906,4869,2709.711,4.796483,2.189979,0.5930801,713.60114,3.9149723,-16.230412404028343,-10.646312724484453,181.283051,0.751004945114173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.71462959456075,29.667538230331065]}"
